Chamber,Sample,Sample,Sample,Sample,EvaGreen,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,In Range,Out Range,Peak Ratio,Comments
S21-A15,418,Unknown,1,Ref 397-398-399,Sox10,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A16,418,Unknown,1,Ref 397-398-399,Steap4,Test,Aldh1l1,19.95529202,1,Pass,0.023030415,-2.176391836,1,Pass,2.281813604,1,Pass,-4.528994154,23.08676545,1,Pass,85.60393049,999,1,
S21-A17,418,Unknown,1,Ref 397-398-399,Cxcl10,Test,Aldh1l1,18.29659493,1,Pass,0.023030415,1.341132377,1,Pass,0.62311651,1,Pass,-1.011469942,2.015964092,1,Pass,82.02315851,999,1,
S21-A18,418,Unknown,1,Ref 397-398-399,Serpina3n,Test,Aldh1l1,13.46544956,1,Pass,0.023030415,-9.934020684,1,Pass,-4.208028854,1,Pass,-12.286623,4996.225934,1,Pass,84.97249507,999,1,
S21-A19,418,Unknown,1,Ref 397-398-399,Clcf1,Test,Aldh1l1,16.13600882,1,Pass,0.023030415,-5.71897233,1,Pass,-1.537469602,1,Pass,-8.071574649,269.0209374,1,Pass,87.29631413,999,1,
S21-A20,418,Unknown,1,Ref 397-398-399,Sphk1,Test,Aldh1l1,16.12703108,1,Pass,0.023030415,-4.599673985,1,Pass,-1.546447336,1,Pass,-6.952276303,123.8350847,1,Pass,85.08402069,999,1,
S21-A21,418,Unknown,1,Ref 397-398-399,Slc10a6,Test,Aldh1l1,19.02090261,1,Pass,0.023030415,-3.676512973,1,Pass,1.347424187,1,Pass,-6.029115292,65.30471675,1,Pass,86.2617499,999,1,
S21-A22,418,Unknown,1,Ref 397-398-399,H2-T23,Test,Aldh1l1,18.64376042,1,Pass,0.023030415,2.847875129,1,Pass,0.970281999,1,Pass,0.49527281,0.709427514,1,Pass,83.26900961,999,1,
S21-A23,418,Unknown,1,Ref 397-398-399,Iigp1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A24,418,Unknown,1,Ref 397-398-399,Fkbp5,Test,Aldh1l1,13.70401138,1,Pass,0.023030415,-1.2064573,1,Pass,-3.969467035,1,Pass,-3.559059619,11.78646855,1,Pass,82.26334031,999,1,
S21-A25,418,Unknown,1,Ref 397-398-399,Vim,Test,Aldh1l1,8.185047923,1,Pass,0.023030415,-1.794512416,1,Pass,-9.488430496,1,Pass,-4.147114734,17.71764234,1,Pass,87.64587831,999,1,
S21-A26,418,Unknown,1,Ref 397-398-399,Aif1 (Iba1),Test,Rplp0,21.97812438,1,Pass,0.023030415,0.760874501,1,Pass,11.91323466,1,Pass,1.682475982,0.311547494,1,Pass,84.1108027,999,1,
S21-A27,418,Unknown,1,Ref 397-398-399,Mbp,Test,Rplp0,23.64341063,1,Pass,0.023030415,1.445647451,1,Pass,13.57852091,1,Pass,2.367248932,0.193814857,1,Pass,84.91703487,999,1,
S21-A28,418,Unknown,1,Ref 397-398-399,S1pr3,Test,Aldh1l1,13.36601606,1,Pass,0.023030415,-2.513531075,1,Pass,-4.307462357,1,Pass,-4.866133394,29.16433744,1,Pass,87.02734396,999,1,
S21-A29,418,Unknown,1,Ref 397-398-399,Cd44,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A30,418,Unknown,1,Ref 397-398-399,Aspg,Test,Aldh1l1,20.06623424,1,Pass,0.023030415,-1.400088319,1,Pass,2.392755825,1,Pass,-3.752690638,13.47945851,1,Pass,86.63518414,999,1,
S21-A31,418,Unknown,1,Ref 397-398-399,Tgm1,Test,Aldh1l1,21.73130127,1,Pass,0.023030415,999,0,Fail,4.057822856,1,Pass,999,-1,0,Fail,91.18470668,999,1,
S21-A32,418,Unknown,1,Ref 397-398-399,Cd109,Test,Aldh1l1,16.35324903,1,Pass,0.023030415,-2.5399754,1,Pass,-1.320229386,1,Pass,-4.892577718,29.70384359,1,Pass,79.72676761,999,1,
S21-A33,418,Unknown,1,Ref 397-398-399,Tm4sf1,Test,Aldh1l1,17.25853376,1,Pass,0.023030415,-1.713704256,1,Pass,-0.414944654,1,Pass,-4.066306575,16.75252407,1,Pass,84.3899479,999,1,
S21-A34,418,Unknown,1,Ref 397-398-399,Serping1,Test,Aldh1l1,18.08991102,1,Pass,0.023030415,-1.006849638,1,Pass,0.416432604,1,Pass,-3.359451957,10.26350759,1,Pass,87.14635351,999,1,
S21-A35,418,Unknown,1,Ref 397-398-399,Gbp2,Test,Aldh1l1,15.63237591,1,Pass,0.023030415,-0.950460738,1,Pass,-2.041102504,1,Pass,-3.303063057,9.87008875,1,Pass,83.12707228,999,1,
S21-A36,418,Unknown,1,Ref 397-398-399,Psmb8,Test,Aldh1l1,18.52056972,1,Pass,0.023030415,0.675404432,1,Pass,0.847091297,1,Pass,-1.677197887,3.198061952,1,Pass,86.40352142,999,1,
S21-A37,418,Unknown,1,Ref 397-398-399,Nes,Test,Aldh1l1,12.96249497,1,Pass,0.023030415,-1.149849397,1,Pass,-4.710983444,1,Pass,-3.502451716,11.33295136,1,Pass,86.29940935,999,1,
S21-A38,418,Unknown,1,Ref 397-398-399,Tmem119,Test,Rplp0,23.35432155,1,Pass,0.023030415,2.683390106,1,Pass,13.28943183,1,Pass,3.604991587,0.082184402,1,Pass,84.8167907,999,1,
S21-A39,418,Unknown,1,Ref 397-398-399,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A40,418,Unknown,1,Ref 397-398-399,S1pr3,Test,Aldh1l1,13.46791381,1,Pass,0.023030415,-2.411633332,1,Pass,-4.205564613,1,Pass,-4.764235651,27.17551839,1,Pass,86.94551209,999,1,
S21-A41,418,Unknown,1,Ref 397-398-399,Cd44,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A42,418,Unknown,1,Ref 397-398-399,Aspg,Test,Aldh1l1,20.34271399,1,Pass,0.023030415,-1.12360857,1,Pass,2.669235574,1,Pass,-3.476210889,11.12868241,1,Pass,86.71027814,999,1,
S21-A43,418,Unknown,1,Ref 397-398-399,Tgm1,Test,Aldh1l1,21.39063225,0.992986085,Pass,0.023030415,999,0,Fail,3.717153834,0.992986085,Pass,999,-1,0,Fail,91.09757842,999,1,
S21-A44,418,Unknown,1,Ref 397-398-399,Cd109,Test,Aldh1l1,16.33509033,1,Pass,0.023030415,-2.558134101,1,Pass,-1.338388087,1,Pass,-4.91073642,30.08007835,1,Pass,79.69910673,999,1,
S21-A45,418,Unknown,1,Ref 397-398-399,Tm4sf1,Test,Aldh1l1,17.56552572,1,Pass,0.023030415,-1.406712296,1,Pass,-0.107952694,1,Pass,-3.759314615,13.54149028,1,Pass,84.29121548,999,1,
S21-A46,418,Unknown,1,Ref 397-398-399,Serping1,Test,Aldh1l1,18.15704101,1,Pass,0.023030415,-0.939719647,1,Pass,0.483562595,1,Pass,-3.292321966,9.796877263,1,Pass,87.10945694,999,1,
S21-A47,418,Unknown,1,Ref 397-398-399,Gbp2,Test,Aldh1l1,16.06178732,1,Pass,0.023030415,-0.521049336,1,Pass,-1.611691102,1,Pass,-2.873651655,7.329179283,1,Pass,83.17578784,999,1,
S21-A48,418,Unknown,1,Ref 397-398-399,Psmb8,Test,Aldh1l1,18.23358092,1,Pass,0.023030415,0.388415636,1,Pass,0.560102501,1,Pass,-1.964186683,3.901926719,1,Pass,86.41424296,999,1,
S21-A49,418,Unknown,1,Ref 397-398-399,Aldh1l1,Reference,,17.90757097,1,Pass,0.023030415,2.586694867,1,Pass,0.234092548,1,Pass,0.234092548,0.850219617,1,Pass,86.74801047,999,1,
S21-A50,418,Unknown,1,Ref 397-398-399,Nefl,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A51,418,Unknown,1,Ref 397-398-399,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A52,418,Unknown,1,Ref 397-398-399,Timp1,Test,Aldh1l1,10.53135502,1,Pass,0.023030415,-3.667062337,1,Pass,-7.142123397,1,Pass,-6.019664656,64.87832444,1,Pass,83.0268353,999,1,
S21-A53,418,Unknown,1,Ref 397-398-399,Osmr,Test,Aldh1l1,11.90706835,1,Pass,0.023030415,-4.729437618,1,Pass,-5.766410069,1,Pass,-7.082039937,135.4897532,1,Pass,81.90526896,999,1,
S21-A54,418,Unknown,1,Ref 397-398-399,Vim,Test,Aldh1l1,8.105018832,1,Pass,0.023030415,-1.874541506,1,Pass,-9.568459587,1,Pass,-4.227143825,18.72824522,1,Pass,87.4435831,999,1,
S21-A55,418,Unknown,1,Ref 397-398-399,Ptx3,Test,Aldh1l1,11.75443691,1,Pass,0.023030415,-7.056145186,1,Pass,-5.919041509,1,Pass,-9.408747504,679.6967925,1,Pass,82.04862473,999,1,
S21-A56,418,Unknown,1,Ref 397-398-399,Ptgs2,Test,Aldh1l1,14.22551988,1,Pass,0.023030415,-4.291132046,1,Pass,-3.44795854,1,Pass,-6.643734365,99.9915561,1,Pass,82.0544858,999,1,
S21-A57,418,Unknown,1,Ref 397-398-399,B3gnt5,Test,Aldh1l1,15.81571862,1,Pass,0.023030415,-2.679690579,1,Pass,-1.857759801,1,Pass,-5.032292897,32.72435604,1,Pass,82.84187292,999,1,
S21-A58,418,Unknown,1,Ref 397-398-399,H2-D1,Test,Aldh1l1,13.72266584,1,Pass,0.023030415,-1.207786276,1,Pass,-3.950812578,1,Pass,-3.560388595,11.79733097,1,Pass,85.88075441,999,1,
S21-A59,418,Unknown,1,Ref 397-398-399,Fbln5,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A60,418,Unknown,1,Ref 397-398-399,Srgn,Test,Aldh1l1,21.22605337,1,Pass,0.023030415,0.736775824,1,Pass,3.552574952,1,Pass,-1.615826494,3.064871302,1,Pass,84.60691276,999,1,
S21-A61,418,Unknown,1,Ref 397-398-399,Glt1,Test,Aldh1l1,16.57739699,1,Pass,0.023030415,2.60724774,1,Pass,-1.096081431,1,Pass,0.254645422,0.838193116,1,Pass,83.25650361,999,1,
S21-A62,418,Unknown,1,Ref 397-398-399,Syt1,Test,Rplp0,20.3517661,1,Pass,0.023030415,-1.202647756,1,Pass,10.28687637,1,Pass,-0.281046276,1.215075766,1,Pass,81.87165792,999,1,
S21-A63,418,Unknown,1,Ref 397-398-399,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A64,418,Unknown,1,Ref 397-398-399,Timp1,Test,Aldh1l1,10.53652986,1,Pass,0.023030415,-3.661887496,1,Pass,-7.136948556,1,Pass,-6.014489815,64.64602753,1,Pass,83.00351002,999,1,
S21-A65,418,Unknown,1,Ref 397-398-399,Osmr,Test,Aldh1l1,11.82846784,1,Pass,0.023030415,-4.808038132,1,Pass,-5.845010582,1,Pass,-7.160640451,143.0762549,1,Pass,81.87582079,999,1,
S21-A66,418,Unknown,1,Ref 397-398-399,Vim,Test,Aldh1l1,8.079087597,1,Pass,0.023030415,-1.900472741,1,Pass,-9.594390822,1,Pass,-4.25307506,19.06791323,1,Pass,87.42003889,999,1,
S21-A67,418,Unknown,1,Ref 397-398-399,Ptx3,Test,Aldh1l1,11.716144,1,Pass,0.023030415,-7.094438094,1,Pass,-5.957334417,1,Pass,-9.447040413,697.9792865,1,Pass,82.04040714,999,1,
S21-A68,418,Unknown,1,Ref 397-398-399,Ptgs2,Test,Aldh1l1,14.2164531,1,Pass,0.023030415,-4.300198828,1,Pass,-3.457025322,1,Pass,-6.652801147,100.6219433,1,Pass,82.04989612,999,1,
S21-A69,418,Unknown,1,Ref 397-398-399,B3gnt5,Test,Aldh1l1,16.01653361,1,Pass,0.023030415,-2.478875587,1,Pass,-1.656944809,1,Pass,-4.831477906,28.47211787,1,Pass,82.84886262,999,1,
S21-A70,418,Unknown,1,Ref 397-398-399,H2-D1,Test,Aldh1l1,13.7637739,1,Pass,0.023030415,-1.166678217,1,Pass,-3.909704519,1,Pass,-3.519280536,11.46592256,1,Pass,85.88908968,999,1,
S21-A71,418,Unknown,1,Ref 397-398-399,Fbln5,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A72,418,Unknown,1,Ref 397-398-399,Srgn,Test,Aldh1l1,19.91059816,1,Pass,0.023030415,-0.578679383,1,Pass,2.237119744,1,Pass,-2.931281702,7.627877644,1,Pass,84.44300266,999,1,
S21-A73,418,Unknown,1,Ref 397-398-399,Aqp4,Test,Aldh1l1,16.08284284,1,Pass,0.023030415,1.466363848,1,Pass,-1.590635576,1,Pass,-0.886238471,1.848350643,1,Pass,86.85867182,999,1,
S21-A74,418,Unknown,1,Ref 397-398-399,Gabra1,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A75,418,Unknown,1,Ref 397-398-399,Lcn2,Test,Aldh1l1,13.14230469,1,Pass,0.023030415,-3.852315743,1,Pass,-4.53117373,1,Pass,-6.204918061,73.7677364,1,Pass,83.87545569,999,1,
S21-A76,418,Unknown,1,Ref 397-398-399,Hsbp1,Test,Aldh1l1,10.94147794,1,Pass,0.023030415,-6.999453844,1,Pass,-6.732000477,1,Pass,-9.352056163,653.5057697,1,Pass,86.96401936,999,1,
S21-A77,418,Unknown,1,Ref 397-398-399,Cp,Test,Aldh1l1,13.22900615,1,Pass,0.023030415,-0.901958401,1,Pass,-4.44447227,1,Pass,-3.25456072,9.543779556,1,Pass,82.01390525,999,1,
S21-A78,418,Unknown,1,Ref 397-398-399,Gfap,Test,Aldh1l1,11.38152947,1,Pass,0.023030415,-2.074922419,1,Pass,-6.291948951,1,Pass,-4.427524738,21.51878531,1,Pass,88.67679333,999,1,
S21-A79,418,Unknown,1,Ref 397-398-399,S100a10,Test,Aldh1l1,8.948678242,1,Pass,0.023030415,-2.350950589,1,Pass,-8.724800177,1,Pass,-4.703552908,26.05616595,1,Pass,81.93308396,999,1,
S21-A80,418,Unknown,1,Ref 397-398-399,Emp1,Test,Aldh1l1,13.49104429,1,Pass,0.023030415,-3.641952323,1,Pass,-4.182434129,1,Pass,-5.994554642,63.75889151,1,Pass,85.11076596,999,1,
S21-A81,418,Unknown,1,Ref 397-398-399,Cd14,Test,Aldh1l1,16.59261073,1,Pass,0.023030415,-2.743068772,1,Pass,-1.080867687,1,Pass,-5.095671091,34.1939952,1,Pass,85.58318678,999,1,
S21-A82,418,Unknown,1,Ref 397-398-399,Ggta1,Test,Aldh1l1,22.00493447,1,Pass,0.023030415,999,0,Fail,4.331456053,1,Pass,999,-1,0,Fail,84.63704318,999,1,
S21-A83,418,Unknown,1,Ref 397-398-399,Ugt1a,Test,Aldh1l1,21.47417222,1,Pass,0.023030415,999,0,Fail,3.800693799,1,Pass,999,-1,0,Fail,82.3973271,999,1,
S21-A84,418,Unknown,1,Ref 397-398-399,Amigo2,Test,Aldh1l1,20.37301532,1,Pass,0.023030415,0.826659195,1,Pass,2.699536897,1,Pass,-1.525943124,2.879749105,1,Pass,84.8374025,999,1,
S21-A85,418,Unknown,1,Ref 397-398-399,Cx30,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A86,418,Unknown,1,Ref 397-398-399,Snap25,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A87,418,Unknown,1,Ref 397-398-399,Lcn2,Test,Aldh1l1,13.26993184,1,Pass,0.023030415,-3.72468859,1,Pass,-4.403546578,1,Pass,-6.077290909,67.5222423,1,Pass,83.97092747,999,1,
S21-A88,418,Unknown,1,Ref 397-398-399,Hsbp1,Test,Aldh1l1,10.99494357,1,Pass,0.023030415,-6.945988214,1,Pass,-6.678534846,1,Pass,-9.298590532,629.7304123,1,Pass,87.05363747,999,1,
S21-A89,418,Unknown,1,Ref 397-398-399,Cp,Test,Aldh1l1,13.21461348,1,Pass,0.023030415,-0.916351073,1,Pass,-4.458864942,1,Pass,-3.268953392,9.639467099,1,Pass,82.08693538,999,1,
S21-A90,418,Unknown,1,Ref 397-398-399,Gfap,Test,Aldh1l1,11.50581813,1,Pass,0.023030415,-1.950633754,1,Pass,-6.167660286,1,Pass,-4.303236073,19.74254499,1,Pass,88.74451437,999,1,
S21-A91,418,Unknown,1,Ref 397-398-399,S100a10,Test,Aldh1l1,8.961078609,1,Pass,0.023030415,-2.338550223,1,Pass,-8.71239981,1,Pass,-4.691152542,25.83316568,1,Pass,82.29473506,999,1,
S21-A92,418,Unknown,1,Ref 397-398-399,Emp1,Test,Aldh1l1,13.37086922,1,Pass,0.023030415,-3.762127395,1,Pass,-4.302609201,1,Pass,-6.114729714,69.29741897,1,Pass,85.62157058,999,1,
S21-A93,418,Unknown,1,Ref 397-398-399,Cd14,Test,Aldh1l1,16.6148706,1,Pass,0.023030415,-2.720808903,1,Pass,-1.058607818,1,Pass,-5.073411222,33.67045289,1,Pass,85.8071658,999,1,
S21-A94,418,Unknown,1,Ref 397-398-399,Ggta1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S21-A95,418,Unknown,1,Ref 397-398-399,Ugt1a,Test,Aldh1l1,21.23401227,1,Pass,0.023030415,999,0,Fail,3.56053385,1,Pass,999,-1,0,Fail,82.61651656,999,1,
S21-A96,418,Unknown,1,Ref 397-398-399,Amigo2,Test,Aldh1l1,19.94773932,1,Pass,0.023030415,0.401383198,1,Pass,2.2742609,1,Pass,-1.951219121,3.867011677,1,Pass,84.88993283,999,1,
S22-A01,NTC,NTC,1,,Rplp0,Reference,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A02,NTC,NTC,1,,Cd84,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A03,NTC,NTC,1,,Mog,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A04,NTC,NTC,1,,Steap4,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A05,NTC,NTC,1,,Cxcl10,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A06,NTC,NTC,1,,Serpina3n,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A07,NTC,NTC,1,,Clcf1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A08,NTC,NTC,1,,Sphk1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A09,NTC,NTC,1,,Slc10a6,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A10,NTC,NTC,1,,H2-T23,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A11,NTC,NTC,1,,Iigp1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A12,NTC,NTC,1,,Fkbp5,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A13,NTC,NTC,1,,Gfap,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A14,NTC,NTC,1,,Ptprc (Cd45),Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A15,NTC,NTC,1,,Sox10,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A16,NTC,NTC,1,,Steap4,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A17,NTC,NTC,1,,Cxcl10,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A18,NTC,NTC,1,,Serpina3n,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A19,NTC,NTC,1,,Clcf1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A20,NTC,NTC,1,,Sphk1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A21,NTC,NTC,1,,Slc10a6,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A22,NTC,NTC,1,,H2-T23,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A23,NTC,NTC,1,,Iigp1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A24,NTC,NTC,1,,Fkbp5,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A25,NTC,NTC,1,,Vim,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A26,NTC,NTC,1,,Aif1 (Iba1),Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A27,NTC,NTC,1,,Mbp,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A28,NTC,NTC,1,,S1pr3,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A29,NTC,NTC,1,,Cd44,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A30,NTC,NTC,1,,Aspg,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A31,NTC,NTC,1,,Tgm1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A32,NTC,NTC,1,,Cd109,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A33,NTC,NTC,1,,Tm4sf1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A34,NTC,NTC,1,,Serping1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A35,NTC,NTC,1,,Gbp2,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A36,NTC,NTC,1,,Psmb8,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A37,NTC,NTC,1,,Nes,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A38,NTC,NTC,1,,Tmem119,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A39,NTC,NTC,1,,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A40,NTC,NTC,1,,S1pr3,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A41,NTC,NTC,1,,Cd44,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A42,NTC,NTC,1,,Aspg,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A43,NTC,NTC,1,,Tgm1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A44,NTC,NTC,1,,Cd109,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A45,NTC,NTC,1,,Tm4sf1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A46,NTC,NTC,1,,Serping1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A47,NTC,NTC,1,,Gbp2,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A48,NTC,NTC,1,,Psmb8,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A49,NTC,NTC,1,,Aldh1l1,Reference,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A50,NTC,NTC,1,,Nefl,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A51,NTC,NTC,1,,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A52,NTC,NTC,1,,Timp1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A53,NTC,NTC,1,,Osmr,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A54,NTC,NTC,1,,Vim,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A55,NTC,NTC,1,,Ptx3,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A56,NTC,NTC,1,,Ptgs2,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A57,NTC,NTC,1,,B3gnt5,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S22-A58,NTC,NTC,1,,H2-D1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
