Sample,NRC,NRC,NRC,Rplp0,Cd84,Ptprc (Cd45),Aif1 (Iba1),Tmem119,Nefl,Syt1,Gabra1,Snap25,Mog,Sox10,Mbp,Aldh1l1,Glt1,Aqp4,Cx30,Nes,Vim,Vim,Vim,Gfap,Gfap,Gfap,Lcn2,Lcn2,Steap4,Steap4,S1pr3,S1pr3,Timp1,Timp1,Hspb1,Hspb1,Cxcl10,Cxcl10,Protein Br,Protein Br,Cp,Cp,Serpina3n,Serpina3n,Aspg,Aspg,Cd44,Cd44,H2-T23,H2-T23,Serping1,Serping1,H2-D1,H2-D1,Iigp1,Iigp1,Gbp2,Gbp2,Fkbp5,Fkbp5,Psmb8,Psmb8,Srgn,Srgn,Amigo2,Amigo2,Ggta1,Ggta1,Fbln5,Fbln5,Ugt1a,Ugt1a,Clcf1,Clcf1,Ptx3,Ptx3,S100a10,S100a10,Sphk1,Sphk1,Cd109,Cd109,Ptgs2,Ptgs2,Emp1,Emp1,Slc10a6,Slc10a6,Tm4sf1,Tm4sf1,B3gnt5,B3gnt5,Cd14,Cd14,Tgm1,Tgm1
NT #4,,,,0.897872,,,0.775788764,0.874972967,,0.699973183,,0.632574625,,0.616934981,,0.761098801,0.794197617,0.836717001,2.426107458,0.831449897,0.795767428,0.828824825,0.802429756,0.883808776,0.905824038,0.932448417,0.861846608,0.862138283,1.058054293,0.981729985,0.744920414,0.799665969,0.850830413,0.880980707,1.093890824,1.152067767,0.838352463,0.918324215,0.949972792,0.90349299,0.892313029,0.853050667,0.579900464,0.646546765,1.425027765,1.126008208,,,0.86722714,0.895319247,0.898280914,0.908286753,0.991987772,0.901493411,1.152288382,1.406995756,0.862315971,0.847449249,0.834208791,0.88806657,0.859443269,0.954080366,1.562758319,2.31430408,0.598702009,0.825543394,,,,,,,0.658303489,0.584333224,1.222336808,0.852780653,0.850720214,0.799640264,1.036818005,0.853898514,0.576800619,0.57542661,2.221364273,2.114550401,0.734965243,0.72537078,,,0.668900166,0.730886134,1.148093788,0.879435313,0.669007117,0.757324277,,
NT #5,,,,0.904898475,,,1.019885558,,,1.473949262,,1.140436221,,,1.997615331,0.922222287,0.981056945,0.93832961,0.379637016,0.99237951,1.020373359,0.946508856,0.950797105,0.88008687,0.846812321,0.857544856,0.865200727,0.831455892,0.993534458,1.306027497,1.048003001,1.043128744,0.962659006,0.869069734,0.672517441,0.679809931,0.891213037,1.053169709,0.907646995,0.829365667,0.910954241,0.836289502,,,,0.26418861,,,0.73885952,1.049394223,0.961510876,0.906305467,0.841877003,0.874883876,0.657354411,0.456812416,0.922443969,0.910994641,0.796690278,0.939869657,0.84939811,0.918957529,0.241970563,0.862842119,1.027382789,0.931033323,1.314782113,0.775508625,,,,,0.848709439,0.943207077,0.701766713,0.970915923,0.923965957,0.889121458,0.763506773,1.095312731,1.274914599,1.353398962,0.486676633,0.305583728,1.030489554,1.02137115,,,1.004411735,1.082862212,0.748976838,0.739939434,0.88047112,1.100549551,,
NT #5,,,,0.734878478,,,0.694418039,,,0.800597947,,0.837309456,,1.680879153,0.881836724,0.997411225,0.896053852,0.864459848,0.527353068,0.907589056,0.860174752,0.916009002,0.909152548,0.809880934,0.779567174,0.765605862,0.855735568,0.805545309,1.529294796,0.856114978,0.870182548,0.9527635,0.882445493,0.862372768,0.566244597,0.823579417,0.755104934,0.943367342,0.813710253,0.817684777,0.81027176,0.852682608,,,,,,,0.721951922,0.936199612,0.797555782,0.75163758,0.727581774,0.938392422,1.077746744,0.429742328,0.920673253,0.802686847,0.848434686,0.924074162,0.784287986,0.863025151,0.362000474,0.357453772,1.265921548,1.004460969,1.906505201,0.514424432,,,,,1.113864036,0.979959416,0.683560173,0.795253527,0.953846419,0.822877702,0.619042072,0.798857176,1.354496259,1.231563696,0.26167079,0.305878624,0.95621399,0.833234973,,,1.043929431,1.10869451,0.70657882,0.766703755,1.000334653,0.846021245,,
Control #1,,,,0.875518281,1.632017377,,0.437336881,2.052264737,,,,0.922641328,,0.792839252,6.305608217,0.769873453,1.083468543,1.009659641,1.703044318,0.849995892,0.861098167,0.892940622,0.908534115,0.903703768,0.942978849,1.023056797,1.134383187,0.810181986,1.719880151,0.973719163,0.866607142,0.758787129,0.806464545,0.915939687,0.557023651,0.352208363,0.925584295,1.237489745,0.845763654,0.926659097,0.896270024,0.850496426,0.628422303,1.64675008,,,,,0.885296133,0.998913102,1.038343896,0.977229289,0.911019385,0.879860349,0.768253176,0.258797777,0.924710515,0.96828442,0.860454741,0.831017622,1.081050896,0.958701386,0.583801433,0.725064321,0.633676881,0.651516403,,,,,,,,0.248125732,1.096500239,0.779390375,1.019034729,0.917517504,1.071561522,0.473827072,0.626916562,0.54491747,1.820824272,1.865647351,0.602995445,0.450601157,,,0.932004005,0.805712129,0.558233724,0.946268988,0.847770121,0.82862201,,
Control #1,,,,0.784479984,1.74464633,,0.788867454,1.860384258,,,1,0.915184177,,1.911339684,2.56350638,0.724835386,1.206287694,0.976638149,2.357233627,0.965011363,0.829180303,0.9157482,0.866118976,0.907990422,0.95202858,0.95224887,0.868819982,0.953543282,2.113925209,1.111113002,0.94417168,0.781320696,0.858730017,0.94280395,0.548266071,0.609314431,1.062738523,0.903615599,0.928085132,0.884158336,0.922804915,0.781920013,0.941489635,1.088421028,,,,,1.000677331,0.95470093,1.053687739,1.024267595,0.928446047,0.957315424,0.807202629,1.08714365,0.693311477,1.088707993,0.778748451,0.843605393,0.820507293,1.166846841,1.365816485,0.990142381,0.405313214,0.495163252,,,,,,,0.344173226,0.310785537,0.941734511,0.830537385,0.939063148,0.885973951,1.452352807,0.311633817,0.794674309,0.674265057,1.289679728,1.938437612,0.738791331,0.602967953,,,0.694619119,0.812677404,0.834604821,1.05078787,0.59669929,0.580883253,,
Control #1,,,,0.87274478,1.018123884,,0.165524787,2.002248162,,,,1.000625363,,0.659898255,3.592255125,0.738325833,1.037304411,0.899573266,1.942839702,0.856315039,0.810271311,0.884484046,0.868925203,0.862665975,0.857007451,0.842897434,1.088603418,0.896836064,1.964513247,1.50196903,0.826864979,0.861066571,0.675970348,0.871759062,0.637500808,0.724145393,0.747817,0.895969334,0.708286525,0.857667955,0.851851533,0.826656865,0.292871559,,,,,,0.960980039,0.92197861,1.162227134,1.060321671,0.815017691,0.865624173,0.669056965,0.873923168,0.922546273,0.812349338,0.722432143,0.828536993,0.762522919,1.060458437,0.678507813,0.616020492,0.59913118,0.600880851,,,,,,,,,0.877239327,0.826518224,0.94623291,0.846792003,,1.194375875,0.838095882,0.673400788,1.809985832,1.567606044,0.608235015,0.596607091,,,0.774215073,0.974129111,0.689105423,0.501849372,0.458820344,0.432970675,,
Control #2,,,,1.264926521,0.733146285,,1.593413363,0.329078141,,2.043124459,,1.402906917,,,1.058175558,1.355533423,1.179476299,1.303688079,,1.235838947,1.455886167,1.439921511,1.544417543,1.422156323,1.384899867,1.218089046,1.082460558,0.889674342,2.248722632,1.770923705,1.323022949,1.415417969,1.451021569,1.323566679,1.339751187,1.434599043,1.328928843,1.356067181,1.503662955,1.536517543,1.477327949,1.327828041,1.24331465,2.036593071,,,,,1.343402101,1.339305746,1.050823146,0.790864478,1.340598299,1.327431466,1.091438248,1.898411303,1.470402275,1.517831613,1.416498176,1.400881517,1.651459972,1.345935203,1.63908432,1.605056752,2.22898441,3.077357412,,,1,,,,0.723258962,1.892674261,1.019211443,1.067085446,1.310641925,1.332558194,4.580034773,0.33139287,1.06624177,0.839972962,0.377195311,0.549606675,1.407205826,1.26977166,,0.83655148,1.84898027,1.708861092,1.728811954,2.067625671,2.498758808,1.988512412,,
Control #2,,,,1.272305415,1.695469582,,2.150912848,0.397509051,,2.073100542,,1.270150186,,,0.301503458,1.179824264,0.984030187,1.209686669,,1.058929583,1.242920595,1.340881113,1.225895766,1.229576692,1.275594572,1.176308587,0.869195822,0.920106483,1.937565654,1.632433707,1.138670044,1.329403039,1.332480568,1.254267357,1.447919749,1.485467529,1.135724907,1.276304684,1.281456093,1.360107024,1.265344161,1.307346756,1.216454101,1.289107388,,,,,1.130449344,1.232413917,0.836222664,0.697529833,1.143153998,1.052829752,1.395606416,1.326309937,1.387816799,1.379976433,1.29006381,1.356371739,1.396040612,1.325692376,1.323830728,1.184506721,1.10848387,1.82634818,,,,,,,1.093852776,1.109356856,0.777775262,0.926755774,1.108609531,1.202377325,4.656048152,3.78348267,0.56724255,0.825886107,0.38495402,0.315159536,1.34391755,1.449987961,0.420669759,1.131587392,1.726478751,1.644067985,1.311567076,1.626733366,1.796785804,1.919888365,,
Control #2,,,,1.216300445,0.277515058,,1.796679308,,,0.7501955,,1.390650916,,,1.538267106,1.31355001,1.098649967,1.16526759,,1.177018275,1.340408533,1.344537347,1.323168374,1.23395955,1.336944283,1.243340009,1.392311337,0.984915049,1.799247616,1.731235265,1.204520984,1.171595876,1.303889513,1.276155546,1.488942211,1.490958914,1.317425361,1.407169794,1.294506403,1.339523682,1.413404112,1.357364689,2.592813611,1.586163814,,,,,1.19200051,1.295066084,1.271330914,0.95347542,1.199204117,1.256173325,1.752220416,1.458622962,1.401989257,1.364162372,1.244996323,1.379639993,1.377091231,1.44829311,0.832694541,0.872161297,1.764856449,2.020799781,,,,,,,1.650853842,1.551559636,1.014981675,0.907204773,1.405996153,1.340358664,3.72260135,2.14058918,1.15488702,0.910235301,0.577863221,0.467821565,1.431478367,1.355237666,2.511180529,,1.372197451,1.814264108,1.580340453,1.551473654,2.077984986,1.896442137,,
Control #3,,,,0.850451154,,,1.674834105,,,1.32092852,,0.685368506,,,0.280222424,0.913838263,0.816376072,0.813770054,,0.93630979,0.815357008,0.815843498,0.885442828,0.760561958,0.801212964,0.827201995,0.962299571,0.971611211,0.508055467,0.187153559,0.95720686,0.954925242,0.883067407,0.866936035,1.146920946,1.112784319,0.731878742,0.983071701,0.811619714,0.80483963,0.87425097,0.810772728,,1.069089471,,,,,0.835646762,0.693650533,0.915836398,1.097435668,0.826225516,0.881954142,,,0.767350491,0.753943291,0.796449444,0.902289954,0.694605777,0.588451959,1.848637187,0.68886518,1.383933556,0.698503876,,,,,,,1.208457204,1.121321713,1.232199699,1.198204507,0.870931804,0.781580885,0.618916563,0.201161428,1.497052204,1.598464939,1.46616332,1.135697384,1.196694615,0.9229129,,,0.798273868,0.850725226,0.772859095,0.644392323,0.912059149,0.800900562,,
